icon_id,subject_term,category,creator_name,source_book,source_chapter,source_text
icon_fc0ce87a,宮中戲鞦韆圖,Painting (General),丘文播,《益州名画录》,卷中·能格上品,"惟德者, 知誨子也。襲承父藝, 美繼前蹤。子父同時入內供奉, 畫《貴公子夜晏 圖》《宮中賞春圖》《宮中戲鞦韆圖》《宮中七夕乞巧 圖》《宮中熨鐵 圖》《宮中按舞 圖》《宮中按樂 圖》, 皆畫當時宮苑, 亭臺, 花木, 皇妃, 帝后, 富貴之事, 精妙頗甚 。授翰林待詔, 將仕郎, 試太常寺齋郎, 賜緋魚袋。蜀廣政初, 荊湖商賈入蜀, 競 請惟德畫“川樣美人” 卷簇, 將歸本道, 以為奇物。"
icon_e30593f4,宮中七夕乞巧 圖,Painting (General),丘文播,《益州名画录》,卷中·能格上品,"惟德者, 知誨子也。襲承父藝, 美繼前蹤。子父同時入內供奉, 畫《貴公子夜晏 圖》《宮中賞春圖》《宮中戲鞦韆圖》《宮中七夕乞巧 圖》《宮中熨鐵 圖》《宮中按舞 圖》《宮中按樂 圖》, 皆畫當時宮苑, 亭臺, 花木, 皇妃, 帝后, 富貴之事, 精妙頗甚 。授翰林待詔, 將仕郎, 試太常寺齋郎, 賜緋魚袋。蜀廣政初, 荊湖商賈入蜀, 競 請惟德畫“川樣美人” 卷簇, 將歸本道, 以為奇物。"
icon_71228cb7,宮中熨鐵 圖,Painting (General),丘文播,《益州名画录》,卷中·能格上品,"惟德者, 知誨子也。襲承父藝, 美繼前蹤。子父同時入內供奉, 畫《貴公子夜晏 圖》《宮中賞春圖》《宮中戲鞦韆圖》《宮中七夕乞巧 圖》《宮中熨鐵 圖》《宮中按舞 圖》《宮中按樂 圖》, 皆畫當時宮苑, 亭臺, 花木, 皇妃, 帝后, 富貴之事, 精妙頗甚 。授翰林待詔, 將仕郎, 試太常寺齋郎, 賜緋魚袋。蜀廣政初, 荊湖商賈入蜀, 競 請惟德畫“川樣美人” 卷簇, 將歸本道, 以為奇物。"
icon_5f5f3fa3,宮中按舞 圖,Painting (General),丘文播,《益州名画录》,卷中·能格上品,"惟德者, 知誨子也。襲承父藝, 美繼前蹤。子父同時入內供奉, 畫《貴公子夜晏 圖》《宮中賞春圖》《宮中戲鞦韆圖》《宮中七夕乞巧 圖》《宮中熨鐵 圖》《宮中按舞 圖》《宮中按樂 圖》, 皆畫當時宮苑, 亭臺, 花木, 皇妃, 帝后, 富貴之事, 精妙頗甚 。授翰林待詔, 將仕郎, 試太常寺齋郎, 賜緋魚袋。蜀廣政初, 荊湖商賈入蜀, 競 請惟德畫“川樣美人” 卷簇, 將歸本道, 以為奇物。"
icon_546669cc,宮中按樂 圖,Painting (General),丘文播,《益州名画录》,卷中·能格上品,"惟德者, 知誨子也。襲承父藝, 美繼前蹤。子父同時入內供奉, 畫《貴公子夜晏 圖》《宮中賞春圖》《宮中戲鞦韆圖》《宮中七夕乞巧 圖》《宮中熨鐵 圖》《宮中按舞 圖》《宮中按樂 圖》, 皆畫當時宮苑, 亭臺, 花木, 皇妃, 帝后, 富貴之事, 精妙頗甚 。授翰林待詔, 將仕郎, 試太常寺齋郎, 賜緋魚袋。蜀廣政初, 荊湖商賈入蜀, 競 請惟德畫“川樣美人” 卷簇, 將歸本道, 以為奇物。"
icon_0061f3cb,天王及部屬,Religious Figure,楊元真,《益州名画录》,卷中·能格上品,"楊元真者, 石城山張玄 外族 也。攻畫佛像, 羅漢, 兼善粧鑾 。當王氏武成中, 善塑像者簡州許侯 , 東川雍中本二人, 時推妙手。今聖興寺天王院《天王及部屬》《熾盛光佛》 《九曜二十八宿》, 天長觀, 龍興觀, 龍虎宮, 並雍中本塑。大聖慈寺《熾盛光佛》《九曜二十八宿》, 華嚴閣下西畔《立釋迦像》, 并許侯塑。皆元真粧, 肉色髭髮, 衣紋錦繡, 及諸禽類, 備著奇功, 時輩罕及。今四天王寺壁畫《五臺山文殊菩薩變相》一堵, 元真筆, 見存。"
icon_f7e02edc,熾盛光佛,Religious Figure,楊元真,《益州名画录》,卷中·能格上品,"楊元真者, 石城山張玄 外族 也。攻畫佛像, 羅漢, 兼善粧鑾 。當王氏武成中, 善塑像者簡州許侯 , 東川雍中本二人, 時推妙手。今聖興寺天王院《天王及部屬》《熾盛光佛》 《九曜二十八宿》, 天長觀, 龍興觀, 龍虎宮, 並雍中本塑。大聖慈寺《熾盛光佛》《九曜二十八宿》, 華嚴閣下西畔《立釋迦像》, 并許侯塑。皆元真粧, 肉色髭髮, 衣紋錦繡, 及諸禽類, 備著奇功, 時輩罕及。今四天王寺壁畫《五臺山文殊菩薩變相》一堵, 元真筆, 見存。"
icon_223ee63d,立釋迦像,Religious Figure,楊元真,《益州名画录》,卷中·能格上品,"楊元真者, 石城山張玄 外族 也。攻畫佛像, 羅漢, 兼善粧鑾 。當王氏武成中, 善塑像者簡州許侯 , 東川雍中本二人, 時推妙手。今聖興寺天王院《天王及部屬》《熾盛光佛》 《九曜二十八宿》, 天長觀, 龍興觀, 龍虎宮, 並雍中本塑。大聖慈寺《熾盛光佛》《九曜二十八宿》, 華嚴閣下西畔《立釋迦像》, 并許侯塑。皆元真粧, 肉色髭髮, 衣紋錦繡, 及諸禽類, 備著奇功, 時輩罕及。今四天王寺壁畫《五臺山文殊菩薩變相》一堵, 元真筆, 見存。"
icon_b0af2bac,五臺山文殊菩薩變相,Religious Figure,楊元真,《益州名画录》,卷中·能格上品,"楊元真者, 石城山張玄 外族 也。攻畫佛像, 羅漢, 兼善粧鑾 。當王氏武成中, 善塑像者簡州許侯 , 東川雍中本二人, 時推妙手。今聖興寺天王院《天王及部屬》《熾盛光佛》 《九曜二十八宿》, 天長觀, 龍興觀, 龍虎宮, 並雍中本塑。大聖慈寺《熾盛光佛》《九曜二十八宿》, 華嚴閣下西畔《立釋迦像》, 并許侯塑。皆元真粧, 肉色髭髮, 衣紋錦繡, 及諸禽類, 備著奇功, 時輩罕及。今四天王寺壁畫《五臺山文殊菩薩變相》一堵, 元真筆, 見存。"
icon_be9acf88,畫佛像,Religious Figure,楊元真,《益州名画录》,卷中·能格上品,"楊元真者, 石城山張玄 外族 也。攻畫佛像, 羅漢, 兼善粧鑾 。當王氏武成中, 善塑像者簡州許侯 , 東川雍中本二人, 時推妙手。今聖興寺天王院《天王及部屬》《熾盛光佛》 《九曜二十八宿》, 天長觀, 龍興觀, 龍虎宮, 並雍中本塑。大聖慈寺《熾盛光佛》《九曜二十八宿》, 華嚴閣下西畔《立釋迦像》, 并許侯塑。皆元真粧, 肉色髭髮, 衣紋錦繡, 及諸禽類, 備著奇功, 時輩罕及。今四天王寺壁畫《五臺山文殊菩薩變相》一堵, 元真筆, 見存。"
icon_b3e843fb,羅漢,Religious Figure,楊元真,《益州名画录》,卷中·能格上品,"楊元真者, 石城山張玄 外族 也。攻畫佛像, 羅漢, 兼善粧鑾 。當王氏武成中, 善塑像者簡州許侯 , 東川雍中本二人, 時推妙手。今聖興寺天王院《天王及部屬》《熾盛光佛》 《九曜二十八宿》, 天長觀, 龍興觀, 龍虎宮, 並雍中本塑。大聖慈寺《熾盛光佛》《九曜二十八宿》, 華嚴閣下西畔《立釋迦像》, 并許侯塑。皆元真粧, 肉色髭髮, 衣紋錦繡, 及諸禽類, 備著奇功, 時輩罕及。今四天王寺壁畫《五臺山文殊菩薩變相》一堵, 元真筆, 見存。"
icon_183d7fe8,杜相國（鴻漸） 真,Portrait,楊元真,《益州名画录》,卷中·能格上品,"《杜相國（鴻漸） 真》, 在大慈寺。"
icon_ab79484e,崔相國（寧） 真,Portrait,楊元真,《益州名画录》,卷中·能格上品,"《崔相國（寧） 真》, 在龍興寺。"
icon_4ec9691b,"韋太師（皋）, 高太尉（崇文） 真",Portrait,楊元真,《益州名画录》,卷中·能格上品,"《韋太師（皋）, 高太尉（崇文） 真》, 在大慈寺。"
icon_fc501fd9,武相國（元衡） 真,Portrait,楊元真,《益州名画录》,卷中·能格上品,"《武相國（元衡） 真》, 在聖壽寺。"
icon_2be18acf,段相國（文昌） 真,Portrait,楊元真,《益州名画录》,卷中·能格上品,"《段相國（文昌） 真》, 在資福寺; 《兩任護軍從事 真》, 在大慈寺普賢閣下。"
icon_36c0e90a,兩任護軍從事 真,Portrait,楊元真,《益州名画录》,卷中·能格上品,"《段相國（文昌） 真》, 在資福寺; 《兩任護軍從事 真》, 在大慈寺普賢閣下。"
icon_8cd5c36e,李太尉（德裕） 真,Portrait,楊元真,《益州名画录》,卷中·能格上品,"《李太尉（德裕） 真》, 在大慈寺。"
icon_65a2a0aa,楊侍中（嗣復） 真,Portrait,楊元真,《益州名画录》,卷中·能格上品,"《楊侍中（嗣復） 真》, 在聖壽寺。"
