work_id,title,creator_ref,period_ref,icon_ref,status,support,dimensions,repository,source_book,source_chapter,source_text
work_93d8071f,法華變相一卷,展子虔,Sui,Unknown,Lost,Silk,,,《贞观公私画史》,卷一·画目,法華變相一卷 ... 右六卷，展子虔畫 。（張彥遠《名畫記》又有《王母圖》、《朱買臣覆水圖》、《齊後主幸晉陽之圖》）
work_a975070f,南郊圖一卷,展子虔,Sui,Unknown,Lost,Silk,,,《贞观公私画史》,卷一·画目,南郊圖一卷 ... 右六卷，展子虔畫 。（張彥遠《名畫記》又有《王母圖》、《朱買臣覆水圖》、《齊後主幸晉陽之圖》）
work_8d7e3e26,長安車马人物圖一卷,展子虔,Sui,Bird-and-Flower,Lost,Silk,,,《贞观公私画史》,卷一·画目,長安車马人物圖一卷 ... 右六卷，展子虔畫 。（張彥遠《名畫記》又有《王母圖》、《朱買臣覆水圖》、《齊後主幸晉陽之圖》）
work_3e762fe5,雜宮苑圖一卷,展子虔,Sui,Unknown,Lost,Silk,,,《贞观公私画史》,卷一·画目,雜宮苑圖一卷 ... 右六卷，展子虔畫 。（張彥遠《名畫記》又有《王母圖》、《朱買臣覆水圖》、《齊後主幸晉陽之圖》）
work_cc8bb6bf,弋獵圖一卷,展子虔,Sui,Unknown,Lost,Silk,,,《贞观公私画史》,卷一·画目,弋獵圖一卷 ... 右六卷，展子虔畫 。（張彥遠《名畫記》又有《王母圖》、《朱買臣覆水圖》、《齊後主幸晉陽之圖》）
work_18668b9f,王世充像一卷,展子虔,Sui,Figure,Lost,Silk,,,《贞观公私画史》,卷一·画目,王世充像一卷 ... 右六卷，展子虔畫 。（張彥遠《名畫記》又有《王母圖》、《朱買臣覆水圖》、《齊後主幸晉陽之圖》）
work_ae415e9d,美人詩意圖一卷,孫尚子,Sui,Figure,Lost,Silk,,,《贞观公私画史》,卷一·画目,美人詩意圖一卷 ... 右五卷，孫尚子畫 。
work_aeb8a837,屋宇樣一卷,孫尚子,Sui,Unknown,Lost,Silk,,,《贞观公私画史》,卷一·画目,屋宇樣一卷 ... 右五卷，孫尚子畫 。
work_b5aea7de,雜鬼神像三卷,孫尚子,Sui,Religious,Lost,Silk,,,《贞观公私画史》,卷一·画目,雜鬼神像三卷 ... 右五卷，孫尚子畫 。
work_44297ad7,黃帝戰涿鹿圖一卷,Anonymous,Sui,Bird-and-Flower,Lost,Silk,,,《贞观公私画史》,卷一·画目,黃帝戰涿鹿圖一卷 ... 右十一卷皆甚精奇，隋朝以來，私家搜訪所得內三卷，近陸探微，先無題記可考 。
work_335ded6d,姜源圖一卷,Anonymous,Sui,Unknown,Lost,Silk,,,《贞观公私画史》,卷一·画目,姜源圖一卷（《太清目》作蘧師珍畫） ... 右十一卷皆甚精奇，隋朝以來，私家搜訪所得內三卷，近陸探微，先無題記可考 。
work_642a02ce,禹貢圖二卷,Anonymous,Sui,Unknown,Lost,Silk,,,《贞观公私画史》,卷一·画目,禹貢圖二卷 ... 右十一卷皆甚精奇，隋朝以來，私家搜訪所得內三卷，近陸探微，先無題記可考 。
