lit_id,target_ref,target_type,source_book,source_chapter,author_ref,quality_rank,quote,source_text,literature_ref,evaluation_type
lit_aa79fe15,山陽七賢圖,Work,《贞观公私画史》,第一卷画目,裴孝源,真迹,右四卷，毛惠遠畫，隋朝官本 。（張彥遠《名畫記》又有《葉公好龍圖》）,右四卷，毛惠遠畫，隋朝官本 。（張彥遠《名畫記》又有《葉公好龍圖》）,《贞观公私画史》,Catalog/Authentication
lit_f7ac7f48,騎馬圖一卷,Work,《贞观公私画史》,第一卷画目,裴孝源,真迹,右四卷，毛惠遠畫，隋朝官本 。（張彥遠《名畫記》又有《葉公好龍圖》）,右四卷，毛惠遠畫，隋朝官本 。（張彥遠《名畫記》又有《葉公好龍圖》）,《贞观公私画史》,Catalog/Authentication
lit_f4a73865,並除圖一卷（《梁太清目》止有此卷）釋迦十弟子圖,Work,《贞观公私画史》,第一卷画目,裴孝源,真迹,右四卷，毛惠秀畫，隋朝官本 。,右四卷，毛惠秀畫，隋朝官本 。,《贞观公私画史》,Catalog/Authentication
lit_3732cc8b,胡僧像,Work,《贞观公私画史》,第一卷画目,裴孝源,真迹,右四卷，毛惠秀畫，隋朝官本 。,右四卷，毛惠秀畫，隋朝官本 。,《贞观公私画史》,Catalog/Authentication
lit_8049aa25,剡中溪谷村墟圖,Work,《贞观公私画史》,第一卷画目,裴孝源,真迹,右四卷，毛惠秀畫，隋朝官本 。,右四卷，毛惠秀畫，隋朝官本 。,《贞观公私画史》,Catalog/Authentication
lit_c0704c73,豫章王燕賓圖,Work,《贞观公私画史》,第一卷画目,裴孝源,著录,《梁太清目》中有,豫章王燕賓圖（《梁太清目》中有）,《梁太清目》,Recorded
lit_88981e5e,豫章王燕賓圖,Work,《贞观公私画史》,第一卷画目,裴孝源,真迹,右七卷，袁蒨畫，並是梁朝官本，有太清年月號 。（張彥遠《名畫記》又有《蒼梧圖》）,右七卷，袁蒨畫，並是梁朝官本，有太清年月號 。（張彥遠《名畫記》又有《蒼梧圖》）,《贞观公私画史》,Catalog/Authentication
lit_e523a538,維摩詰變相圖,Work,《贞观公私画史》,第一卷画目,裴孝源,真迹,右七卷，袁蒨畫，並是梁朝官本，有太清年月號 。（張彥遠《名畫記》又有《蒼梧圖》）,右七卷，袁蒨畫，並是梁朝官本，有太清年月號 。（張彥遠《名畫記》又有《蒼梧圖》）,《贞观公私画史》,Catalog/Authentication
lit_07048a5b,三龍圖一卷,Work,《贞观公私画史》,第一卷画目,裴孝源,真迹,右七卷，袁蒨畫，並是梁朝官本，有太清年月號 。（張彥遠《名畫記》又有《蒼梧圖》）,右七卷，袁蒨畫，並是梁朝官本，有太清年月號 。（張彥遠《名畫記》又有《蒼梧圖》）,《贞观公私画史》,Catalog/Authentication
lit_e54499f5,少年行樂圖,Work,《贞观公私画史》,第一卷画目,裴孝源,著录,上二卷《太清目》所有,少年行樂圖（上二卷《太清目》所有）,《贞观公私画史》,Recorded
lit_d4863b05,朝臣像,Work,《贞观公私画史》,第一卷画目,裴孝源,真迹,右三卷，劉填畫，隋朝官本 。,右三卷，劉填畫，隋朝官本 。,《贞观公私画史》,Catalog/Authentication
lit_0cb5fed8,吳中舟行圖,Work,《贞观公私画史》,第一卷画目,裴孝源,真迹,右三卷，劉填畫，隋朝官本 。,右三卷，劉填畫，隋朝官本 。,《贞观公私画史》,Catalog/Authentication
lit_5b0906ab,少年行樂圖,Work,《贞观公私画史》,第一卷画目,裴孝源,真迹,右三卷，劉填畫，隋朝官本 。,右三卷，劉填畫，隋朝官本 。,《贞观公私画史》,Catalog/Authentication
lit_2c2baec2,豫章王像,Work,《贞观公私画史》,第一卷画目,裴孝源,真迹,右二卷，蘧師珍畫，梁朝官本 。,右二卷，蘧師珍畫，梁朝官本 。,《贞观公私画史》,Catalog/Authentication
lit_2b526582,獅子擊象圖,Work,《贞观公私画史》,第一卷画目,裴孝源,著录,云宗炳畫,獅子擊象圖（云宗炳畫）,《贞观公私画史》,Comparison
lit_37c76eb3,巢由洗耳圖,Work,《贞观公私画史》,第一卷画目,裴孝源,真迹,右二卷，題云嵇康畫，未詳，隋朝官本 。（康畫，《太清目》中所不載）,右二卷，題云嵇康畫，未詳，隋朝官本 。（康畫，《太清目》中所不載）,《贞观公私画史》,Catalog/Authentication
