lit_id,target_ref,source_book,source_chapter,author_ref,quality_rank,quote,source_text,person_id
lit_scmhp_011,黃筌,《圣朝名画评》,卷一 人物門第一,刘道醇,妙品中,"評曰: 蒲師訓筆法雖細, 其勢極壯。黃筌凡欲揮灑, 必澄思慮, 故其彩繪精緻, 形物偉廓。居寀數壁有父之風, 可謂善繼矣。孟顯能作猛風之勢, 瘦形圓面, 識者猶以為疵。周文矩用意深遠, 於繁富則尤工。並列妙品中。","黃筌, 字要叔, 亦蜀中人。少開悟, 卓然不肯與群兒語。年十三, 事郡人刁處士學丹青。尤好花竹翎毛, 凡所操筆, 皆迫於真, 大為當時所傳。年十七, 從其師同仕王衍。十九, 賜朱衣銀魚, 監都麴院。及孟知祥僭立, 進筌三品服。子昶承襲, 遷待詔、檢校少府監。寫僞後袁氏
真, 張於別殿, 嬪御屬目, 更深攀慕。累加如京副使、檢校戶部尚書兼御史大夫。藝祖開朝, 昶銜璧入覲, 筌與子居寀皆從赴都下。上真命為太子左贊善大夫, 仍厚賜之。筌以亡國之餘, 動成哀慼, 至是遘疾而卒, 時乾德辛丑九月二日也。子五人, 居寶亦能丹青, 死於蜀。居寀自有傳。門生夏侯延祐亦知名。",meso_黃筌
lit_scmhp_012,黃居寀,《圣朝名画评》,卷一 人物門第一,刘道醇,妙品中,"評曰: 蒲師訓筆法雖細, 其勢極壯。黃筌凡欲揮灑, 必澄思慮, 故其彩繪精緻, 形物偉廓。居寀數壁有父之風, 可謂善繼矣。孟顯能作猛風之勢, 瘦形圓面, 識者猶以為疵。周文矩用意深遠, 於繁富則尤工。並列妙品中。","黃居寀, 字伯鸞。亦事孟昶為待詔。隨筌朝, 復真命。陶尚書(穀) 在翰苑, 因曝 圖畫, 乃展《秋山圖》令品第之。居寀斂容再拜 曰: “某與父筌所為也。孟昶時以答楊渥 國信, 彌縫處有某父子名姓當在。” 裂之, 如居寀言。詢諸庫吏, 乃朱梁開平 中, 楚將張浩殺楊渥, 籍沒此圖。穀命居寀追寫父真, 為當時所重。居寀父子事蜀主三世, 凡圖帳 屏壁 多出其手。愚嘗於唐紫微 第見居寀畫《西伯 獵渭圖》及父筌真像, 皆得其妙。",meso_黃居寀
lit_scmhp_013,孫知微,《圣朝名画评》,卷一 人物門第一,刘道醇,妙品中,"評曰: 蒲師訓筆法雖細, 其勢極壯。黃筌凡欲揮灑, 必澄思慮, 故其彩繪精緻, 形物偉廓。居寀數壁有父之風, 可謂善繼矣。孟顯能作猛風之勢, 瘦形圓面, 識者猶以為疵。周文矩用意深遠, 於繁富則尤工。並列妙品中。","孫知微, 字太古, 彭山 人。知書, 能語論, 通老學, 善雜畫。初師沙門令宗, 凡牧伯所至, 必與之相欸, 高談劇辯, 皆出人意。蜀中寺觀多有親筆, 畫釋老 事迹, 則不茹 葷食, 在於山墅, 經時方成。寓居青城 白侯壩趙村, 愛其水竹深茂, 以助其興。",meso_孫知微
lit_scmhp_014,孟顯,《圣朝名画评》,卷一 人物門第一,刘道醇,妙品中,"評曰: 蒲師訓筆法雖細, 其勢極壯。黃筌凡欲揮灑, 必澄思慮, 故其彩繪精緻, 形物偉廓。居寀數壁有父之風, 可謂善繼矣。孟顯能作猛風之勢, 瘦形圓面, 識者猶以為疵。周文矩用意深遠, 於繁富則尤工。並列妙品中。","孟顯, 字坦之, 華池 人。骨氣 清楚, 語論通博。畫佛像、人物、車馬等出於己意, 自成一家。筆無少滯, 轉動飄逸, 觀者不能窮其來去之跡。嘗於本郡孟氏舍揮數壁, 皆有精意。",meso_孟顯
lit_scmhp_015,周文矩,《圣朝名画评》,卷一 人物門第一,刘道醇,妙品中,"評曰: 蒲師訓筆法雖細, 其勢極壯。黃筌凡欲揮灑, 必澄思慮, 故其彩繪精緻, 形物偉廓。居寀數壁有父之風, 可謂善繼矣。孟顯能作猛風之勢, 瘦形圓面, 識者猶以為疵。周文矩用意深遠, 於繁富則尤工。並列妙品中。","周文矩, 建康句容 人。美風度, 學丹青, 頗有精思。仕李煜為待詔。能畫冕服車器、人物子女。僞昇元 中, 命圖南莊, 最為精備。開賣中, 煜貢之, 藏於秘府, 為上寶重。",meso_周文矩
lit_scmhp_016,張昉,《圣朝名画评》,卷一 人物門第一,刘道醇,妙品下,"評曰: 張昉用意敏速, 變態皆善。王端寫人形表, 尤見所長。勾龍爽筆力飄逸, 多從質野。陳用志所為, 雖至小僻, 曲盡其妙。厲昭慶居必幽靜, 故其澄慮設色, 久而愈精。王兼濟嘗與武宗元分畫 大像, 然不能及, 亦可以接其步武 矣。並列妙品下。","張昉, 字升卿, 汝南人。性剛潔, 不喜附人。學吳生, 僅 得其法。大中祥符 中, 玉清昭應宮成, 召昉畫三清殿天女奏音樂像。昉不假朽畫, 奮筆立就, 皆丈餘高。流輩 驚顧, 終譛 於主者, 以防不能慎重, 用意多速, 出於矜炫, 恐 有效尤者。尋 遭詰問, 昉不加彩繪而去, 論者惜之。於本郡開元寺畫護法善神, 最為精緻。",meso_張昉
lit_scmhp_017,王端,《圣朝名画评》,卷一 人物門第一,刘道醇,妙品下,"評曰: 張昉用意敏速, 變態皆善。王端寫人形表, 尤見所長。勾龍爽筆力飄逸, 多從質野。陳用志所為, 雖至小僻, 曲盡其妙。厲昭慶居必幽靜, 故其澄慮設色, 久而愈精。王兼濟嘗與武宗元分畫 大像, 然不能及, 亦可以接其步武 矣。並列妙品下。","王端, 字子正, 瓘之子也。性謹厚, 幼知書, 尤好讀十七代史, 文選、易象、黃老之學皆涉獵焉。善丹青, 長於傳寫及山水花竹等。真廟 晏駕時, 召端與畫臣寫其遺像。端舉筆乃就, 無卉及之者。燕共肅王 見其肖似, 更益號慟。敕端入圖畫院, 讓而不受, 止乞國子監書各一部。上嘉之, 特授奉職, 轉右班殿直。詔寫真廟及章獻明肅太后 聖容於石壁, 未絕筆而端卒。令李元輔 畢之, 優賜其家。",meso_王端
lit_scmhp_018,勾龍爽,《圣朝名画评》,卷一 人物門第一,刘道醇,妙品下,"評曰: 張昉用意敏速, 變態皆善。王端寫人形表, 尤見所長。勾龍爽筆力飄逸, 多從質野。陳用志所為, 雖至小僻, 曲盡其妙。厲昭慶居必幽靜, 故其澄慮設色, 久而愈精。王兼濟嘗與武宗元分畫 大像, 然不能及, 亦可以接其步武 矣。並列妙品下。","勾龍爽, 蜀中人。厚重少語言。好丹青, 神宗 時為圖畫院祇候。善作中古 人物, 其狀質野, 觀 者有返樸之意焉。",meso_勾龍爽
lit_scmhp_019,陳用志,《圣朝名画评》,卷一 人物門第一,刘道醇,妙品下,"評曰: 張昉用意敏速, 變態皆善。王端寫人形表, 尤見所長。勾龍爽筆力飄逸, 多從質野。陳用志所為, 雖至小僻, 曲盡其妙。厲昭慶居必幽靜, 故其澄慮設色, 久而愈精。王兼濟嘗與武宗元分畫 大像, 然不能及, 亦可以接其步武 矣。並列妙品下。","陳用志, 許州郾城 人。樸直少可, 不嗜利禄, 為交友所高。天聖 中為圖畫院祗候。逮景祐初, 今上營慈孝寺, 敕用志及待詔等筆東殿御座側, 其間王華希宮中別賜, 屏上為龍水, 飾以花竹。用志不樂, 因私遁去。人間多求用志畫, 至有日走於門者。用志但以半幅紙絹, 信筆自適, 故其跡甚少。",meso_陳用志
lit_scmhp_020,厲昭慶,《圣朝名画评》,卷一 人物門第一,刘道醇,妙品下,"評曰: 張昉用意敏速, 變態皆善。王端寫人形表, 尤見所長。勾龍爽筆力飄逸, 多從質野。陳用志所為, 雖至小僻, 曲盡其妙。厲昭慶居必幽靜, 故其澄慮設色, 久而愈精。王兼濟嘗與武宗元分畫 大像, 然不能及, 亦可以接其步武 矣。並列妙品下。","厲昭慶, 建業 人。仕僞唐為待詔, 國破, 與其男 從至京師, 籍為編。昭慶父子大有丹青之名, 攻 佛像, 尤長於觀音。凡畫古今人物, 至於衣紋生熟, 亦能分別, 前輩殆不及。每欲揮筆, 必求虛靜之室, 無塵埃處, 覆其四面, 止 留尺餘, 始肯命意, 其專謹如此。人有問者, 以陸探微去梯之事 答之。故其筆精, 色澤久而如新, 此可佳也。",meso_厲昭慶
